timestamp,link,Lookup_ID,Version,Content Category: Gift Announcement,Interest Area: Giving Blueday,Interest Area: Student Support,Interest Area: History,Interest Area: Diversity Equity and Inclusion,Interest Area: Poverty,Interest Area: Sustainability,Interest Area: Environment,Interest Area: City of Detroit,Interest Area: Health and Wellness,Interest Area: Public Good,Interest Area: Facilities,Interest Area: Arts,Interest Area: Education,Interest Area: Science,Interest Area: Military and Veterans,Interest Area: International,Interest Area: Aging,S/C/U: Gerald R. Ford School of Public Policy,S/C/U: Rackham Graduate School,S/C/U: Bentley Historical Library,S/C/U: Student Life,"S/C/U: College of Literature, Science, and the Arts",S/C/U: Student Publications,S/C/U: Institute for Social Research,S/C/U: Stephen M. Ross School of Business,S/C/U: School for Environment and Sustainability,S/C/U: Michigan Medicine,S/C/U: School of Dentistry,S/C/U: University of Michigan Museum of Art,S/C/U: School of Education,S/C/U: Athletics,S/C/U: Detroit Observatory
2/3/2022 21:33,Read about the program,2786783,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
3/25/2022 16:05,Meet Sarah,2786874,Major Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,School of Dentistry,,,,
5/12/2022 10:47,womens-basketball-harris-family,2787076,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 9:07,Experience the observatory,2787246,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 8:12,womens-basketball-harris-family,2787301,Major Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 16:37,Experience the observatory,2789085,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 10:23,Read about the Bentley gift,2789759,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 10:21,Learn about the Weill gift,2789759,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 10:20,Learn about the Weill gift,2789759,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 9:40,Read about the program,2790294,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
5/12/2022 8:55,grosfeld-kellogg-center-gift,2791225,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,Aging,,,,,,,,,,Michigan Medicine,,,,,
1/31/2022 11:15,Learn about the Weill gift,2793337,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 13:05,Experience the observatory,2794421,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 13:05,grosfeld-kellogg-center-gift,2794421,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,Aging,,,,,,,,,,Michigan Medicine,,,,,
5/12/2022 13:03,Experience the observatory,2799777,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 10:49,Learn about the Warren bequest,2799960,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 14:03,Read about the program,2800184,Major Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 9:22,Learn about the Weill gift,2802582,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 8:46,Read about the program,2803264,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 20:43,Read about the program,2804581,Major Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 8:29,Learn about the Weiser gift,2805339,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,,,,,,,,,,,Michigan Medicine,,,,,
1/31/2022 9:12,Learn about the Weill gift,2805561,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 8:22,Meet Audrey,2805674,Annual Giving,,,Student Support,,,,,,,,,,,,,,International,,,,,,,,,,,,,,,,
5/12/2022 18:42,Meet the graduates,2808845,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2022 10:26,Read about the program,2809011,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
5/13/2022 5:55,Experience the observatory,2811236,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 21:06,Experience the observatory,2811327,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 21:04,womens-basketball-harris-family,2811327,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 20:59,Learn more about the program,2811327,Annual Giving,,,Student Support,,,,,,,,,,,,,Military and Veterans,,,,,,,,,,,,,,,,,
5/12/2022 21:02,Meet the graduates,2811327,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2022 0:09,Experience the observatory,2811595,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 15:44,Learn about the Weill gift,2811595,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 9:12,Meet the graduates,2813750,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:12,Read about the Culture Corps,2814961,Annual Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
1/31/2022 13:56,Learn about the Weill gift,2816003,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 10:31,Learn about the Weill gift,2819211,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 10:06,Learn about the Weiser gift,2819442,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,,,,,,,,,,,Michigan Medicine,,,,,
2/2/2022 7:16,Read about the Bentley gift,2819557,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
2/2/2022 18:35,Learn about the Weill gift,2820444,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 15:19,Experience the observatory,2821801,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 15:18,Meet Audrey,2821801,Major Giving,,,Student Support,,,,,,,,,,,,,,International,,,,,,,,,,,,,,,,
2/3/2022 17:35,Meet Dyanna,2822295,Major Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,Student Life,,,,,,,,,,,
5/12/2022 8:46,Experience the observatory,2825570,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 8:28,Learn about the Warren bequest,2825934,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 9:27,Experience the observatory,2827888,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 10:20,Experience the observatory,2828893,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 10:15,Learn about the Weill gift,2829010,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 9:14,Learn about the Weill gift,2829010,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
